Species	Trait
Hymenolepis_microstoma	NAMPT_Only
Hyposmocoma_kahamanoa	PNC1_Only
Hypsibius_dujardini	PNC1_Only
Ignelater_luminosus	PNC1_Only
Intoshia_linei	NAMPT_Only
Ixodes_persulcatus	Both
Ixodes_scapularis	Both
Laodelphax_striatellus	PNC1_Only
Lasius_niger	PNC1_Only
Lepeophtheirus_salmonis	PNC1_Only
Leptinotarsa_decemlineata	PNC1_Only
Leptotrombidium_deliense	PNC1_Only
Leucosolenia_complicata	Both
Limulus_polyphemus	Both
Linepithema_humile	PNC1_Only
Lingula_anatina	Both
Litomosoides_sigmodontis	NAMPT_Only
Loa_loa	NAMPT_Only
Lottia_gigantea	Both
Lucilia_cuprina	PNC1_Only
Lucilia_sericata	PNC1_Only
Lytechinus_variegatus	Both
Macrostomum_lignano	PNC1_Only
Manduca_sexta	PNC1_Only
Maniola_hyperantus	PNC1_Only
Medioppia_subpectinata	Both
Megachile_rotundata	PNC1_Only
Megalopta_genalis	PNC1_Only
Melanaphis_sacchari	PNC1_Only
Melipona_quadrifasciata	PNC1_Only
Mesocestoides_corti	NAMPT_Only
Microplitis_demolitor	PNC1_Only
Mizuhopecten_yessoensis	Both
Mnemiopsis_leidyi	PNC1_Only
Monomorium_pharaonis	PNC1_Only
Monosiga_brevicollis_MX1	Both
Mus_musculus	NAMPT_Only
Musca_domestica	PNC1_Only
Mytilus_coruscus	Both
Mytilus_edulis	Both
Mytilus_galloprovincialis	Both
Myzus_persicae	PNC1_Only
Nasonia_vitripennis	PNC1_Only
Necator_americanus	NAMPT_Only
Nematostella_vectensis	Both
Neodiprion_lecontei	PNC1_Only
Nicrophorus_vespilloides	PNC1_Only
Nilaparvata_lugens	PNC1_Only
Nippostrongylus_brasiliensis	Both
Nomia_melanderi	PNC1_Only
Notodromas_monacha	Both
Nylanderia_fulva	PNC1_Only
Nymphon_striatum	PNC1_Only
Octopus_bimaculoides	Both
Octopus_sinensis	Both
Odontomachus_brunneus	PNC1_Only
Oesophagostomum_dentatum	Both
Oikopleura_dioica	NAMPT_Only
Onchocerca_flexuosa	NAMPT_Only
Onchocerca_ochengi	NAMPT_Only
Onthophagus_taurus	PNC1_Only
Ooceraea_biroi	PNC1_Only
Operophtera_brumata	PNC1_Only
Opisthorchis_felineus	Both
Opisthorchis_viverrini	Both
Oppiella_nova	Both
Orbicella_faveolata	NAMPT_Only
Orchesella_cincta	PNC1_Only
Orussus_abietinus	PNC1_Only
Oryctes_borbonicus	PNC1_Only
Oscarella_carmela	NAMPT_Only
Osmia_bicornis_bicornis	PNC1_Only
Osmia_lignaria	PNC1_Only
Ostrinia_furnacalis	PNC1_Only
Papilio_machaon	PNC1_Only
Papilio_polytes	PNC1_Only
Papilio_xuthus	PNC1_Only
Paragonimus_heterotremus	NAMPT_Only
Paragonimus_kellicotti	Both
Paragonimus_miyazakii	Both
Paragonimus_westermani	Both
Pararge_aegeria	PNC1_Only
Parasteatoda_tepidariorum	PNC1_Only
Parnassius_apollo	PNC1_Only
Patiria_miniata	Both
Pecten_maximus	Both
Pediculus_humanus_corporis	PNC1_Only
Penaeus_monodon	Both
Penaeus_vannamei	Both
Phallusia_mammillata	PNC1_Only
Photinus_pyralis	PNC1_Only
Pieris_macdunnoughi	PNC1_Only
Pieris_rapae	PNC1_Only
Plakobranchus_ocellatus	Both
Pleurobrachia_bachei	PNC1_Only
Plutella_xylostella	PNC1_Only
Pocillopora_damicornis	Both
Pogonomyrmex_barbatus	PNC1_Only
Polistes_canadensis	PNC1_Only
Polistes_dominula	PNC1_Only
Pollicipes_pollicipes	PNC1_Only
Polypedilum_vanderplanki	PNC1_Only
Pomacea_canaliculata	Both
Portunus_trituberculatus	Both
Priapulus_caudatus	Both
Pristionchus_pacificus	Both
Pseudoatta_argentina	PNC1_Only
Pseudomyrmex_gracilis	PNC1_Only
Puccinia_graminis	PNC1_Only
Ramazzottius_varieornatus	PNC1_Only
Rhagoletis_zephyria	PNC1_Only
Rhipicephalus_microplus	Both
Rhipicephalus_sanguineus	Both
Rhizophagus_irregularis_DAOM_181602=DAOM_197198	NAMPT_Only
Rhopalosiphum_maidis	PNC1_Only
Rhynchophorus_ferrugineus	PNC1_Only
Rotaria_magnacalcarata	Both
Rotaria_socialis	Both
Rotaria_sordida	Both
Rotaria_sp._Silwood1	Both
Rotaria_sp._Silwood2	Both
Saccharomyces_cerevisiae_S288C	PNC1_Only
Saccoglossus_kowalevskii	Both
Salpingoeca_rosetta	Both
Sarcophaga_bullata	PNC1_Only
Sarcoptes_scabiei	PNC1_Only
Scaptodrosophila_lebanonensis	PNC1_Only
Schistocephalus_solidus	NAMPT_Only
Schistosoma_bovis	NAMPT_Only
Schistosoma_curassoni	NAMPT_Only
Schistosoma_haematobium	NAMPT_Only
Schistosoma_japonicum	NAMPT_Only
Schistosoma_mansoni	NAMPT_Only
Schistosoma_margrebowiei	NAMPT_Only
Schistosoma_mattheei	NAMPT_Only
Sepia_pharaonis	Both
Sipha_flava	PNC1_Only
Sitophilus_oryzae	PNC1_Only
Solenopsis_invicta	PNC1_Only
Sparganum_proliferum	NAMPT_Only
Sphaeroforma_arctica_JP610	PNC1_Only
Spirometra_erinaceieuropaei	NAMPT_Only
Spizellomyces_punctatus_DAOM_BR117	Both
Spodoptera_exigua	PNC1_Only
Spodoptera_frugiperda	PNC1_Only
Spodoptera_litura	Both
Stegodyphus_dumicola	PNC1_Only
Stegodyphus_mimosarum	PNC1_Only
Steinernema_carpocapsae	Both
Stomoxys_calcitrans	PNC1_Only
Strongylocentrotus_purpuratus	Both
Strongyloides_ratti	Both
Strongylus_vulgaris	Both
Styela_clava	PNC1_Only
Stylophora_pistillata	Both
Suberites_domuncula	NAMPT_Only
Sycon_ciliatum	Both
Taenia_asiatica	NAMPT_Only
Teladorsagia_circumcincta	NAMPT_Only
Teleopsis_dalmanni	PNC1_Only
Temnothorax_curvispinosus	PNC1_Only
Temnothorax_longispinosus	PNC1_Only
Tetranychus_urticae	PNC1_Only
Thelazia_callipaeda	NAMPT_Only
Thelohanellus_kitauei	PNC1_Only
Thrips_palmi	PNC1_Only
Tigriopus_californicus	Both
Timema_californicum	PNC1_Only
Timema_shepardi	PNC1_Only
Toxocara_canis	Both
Trachymyrmex_cornetzi	PNC1_Only
Trachymyrmex_septentrionalis	PNC1_Only
Trachymyrmex_zeteki	PNC1_Only
Tribolium_castaneum	PNC1_Only
Trichinella_britovi	NAMPT_Only
Trichinella_murrelli	NAMPT_Only
Trichinella_nativa	NAMPT_Only
Trichinella_nelsoni	NAMPT_Only
Trichinella_papuae	NAMPT_Only
Trichinella_patagoniensis	NAMPT_Only
Trichinella_pseudospiralis	NAMPT_Only
Trichinella_sp._T9	NAMPT_Only
Trichinella_spiralis	NAMPT_Only
Trichinella_zimbabwensis	NAMPT_Only
Trichobilharzia_regenti	NAMPT_Only
Trichogramma_brassicae	PNC1_Only
Trichogramma_pretiosum	PNC1_Only
Trichomalopsis_sarcophagae	PNC1_Only
Trichoplax_adhaerens	NAMPT_Only
Trichoplax_sp._H2	NAMPT_Only
Trichoplusia_ni	PNC1_Only
Trichuris_suis	NAMPT_Only
Trichuris_trichiura	NAMPT_Only
Trinorchestia_longiramus	PNC1_Only
Tropilaelaps_mercedesae	PNC1_Only
Vanessa_tameamea	PNC1_Only
Varroa_destructor	PNC1_Only
Vespa_mandarinia	PNC1_Only
Vespula_germanica	PNC1_Only
Vespula_pensylvanica	PNC1_Only
Vespula_vulgaris	PNC1_Only
Vollenhovia_emeryi	PNC1_Only
Wasmannia_auropunctata	PNC1_Only
Wuchereria_bancrofti	NAMPT_Only
Xestospongia_testudinaria	Both
Zerene_cesonia	PNC1_Only
Zeugodacus_cucurbitae	PNC1_Only
Zootermopsis_nevadensis	PNC1_Only
